epoch,accuracy,auc_4,loss,val_accuracy,val_auc_4,val_loss
0,0.8510000109672546,0.9742929935455322,0.43975672125816345,0.7559999823570251,0.9401140213012695,0.7197497487068176
1,0.8510000109672546,0.9771568775177002,0.41742274165153503,0.7559999823570251,0.9394240975379944,0.7268773317337036
2,0.8414999842643738,0.9750810265541077,0.4347721040248871,0.7559999823570251,0.9397820830345154,0.7288503646850586
3,0.8500000238418579,0.976969301700592,0.4206560552120209,0.7519999742507935,0.9390340447425842,0.7287411093711853
4,0.843999981880188,0.9750027060508728,0.4338511526584625,0.7480000257492065,0.9389539361000061,0.7371183037757874
5,0.8500000238418579,0.9770543575286865,0.4218589663505554,0.7519999742507935,0.9404039978981018,0.7226216793060303
6,0.8500000238418579,0.9777728915214539,0.41424551606178284,0.7559999823570251,0.9405339956283569,0.7239676713943481
7,0.8464999794960022,0.9781532883644104,0.40918463468551636,0.7559999823570251,0.9391019940376282,0.7357046604156494
8,0.8554999828338623,0.9781000018119812,0.40909343957901,0.7519999742507935,0.9374980330467224,0.747158408164978
9,0.8565000295639038,0.9769774079322815,0.4142720401287079,0.7519999742507935,0.9408400058746338,0.7245924472808838
10,0.8504999876022339,0.9776532053947449,0.4106283187866211,0.7480000257492065,0.9377719759941101,0.7518749237060547
